    82/299     6.11G   0.01997  0.007616         0   0.02758        10       480    0.9869    0.9817    0.9942    0.8514   0.01364  0.003067         0
    83/299     6.11G   0.01966  0.007582         0   0.02724         9       480    0.9844    0.9843    0.9942     0.852   0.01362  0.003061         0
    84/299     6.11G   0.01974  0.007615         0   0.02736         9       480    0.9819     0.987    0.9942    0.8531    0.0136  0.003055         0
    85/299     6.11G   0.01963  0.007509         0   0.02714        14       480    0.9819     0.987    0.9943    0.8547   0.01359   0.00305         0
    86/299     6.11G   0.01962  0.007539         0   0.02716        14       480    0.9819     0.987    0.9943    0.8544   0.01358  0.003046         0
    87/299     6.11G   0.01967  0.007522         0   0.02719        13       480    0.9869    0.9843    0.9943    0.8546   0.01357  0.003041         0
    88/299     6.11G   0.01968  0.007487         0   0.02717        14       480    0.9844     0.987    0.9944    0.8555   0.01356  0.003036         0
    89/299     6.11G   0.01954  0.007501         0   0.02704        11       480    0.9844     0.987    0.9944    0.8563   0.01354  0.003032         0
    90/299     6.11G   0.01942  0.007401         0   0.02682        10       480    0.9844     0.987    0.9944    0.8566   0.01352  0.003027         0
    91/299     6.11G   0.01949  0.007419         0   0.02691        17       480    0.9844     0.987    0.9944    0.8577    0.0135  0.003021         0
    92/299     6.11G   0.01947   0.00754         0   0.02701        11       480    0.9844     0.987    0.9944    0.8573   0.01349  0.003017         0
    93/299     6.11G   0.01933  0.007413         0   0.02674        13       480    0.9844     0.987    0.9944    0.8583   0.01347  0.003011         0
    94/299     6.11G   0.01936  0.007351         0   0.02671        10       480    0.9844     0.987    0.9945    0.8593   0.01345  0.003005         0
    95/299     6.11G   0.01921  0.007335         0   0.02655        10       480    0.9895    0.9843    0.9945    0.8605   0.01343  0.003001         0
    96/299     6.11G   0.01927  0.007298         0   0.02656        14       480    0.9895    0.9844    0.9945    0.8595    0.0134  0.002996         0
    97/299     6.11G    0.0193   0.00745         0   0.02675         4       480    0.9895    0.9844    0.9946    0.8625   0.01338  0.002991         0
    98/299     6.11G   0.01924  0.007366         0   0.02661        13       480    0.9895    0.9844    0.9946     0.862   0.01336  0.002986         0
    99/299     6.11G   0.01924  0.007292         0   0.02654        11       480    0.9895    0.9844    0.9946    0.8628   0.01334   0.00298         0
   100/299     6.11G   0.01906  0.007297         0   0.02636        11       480    0.9895    0.9844    0.9946    0.8632   0.01333  0.002976         0
   101/299     6.11G   0.01906  0.007235         0    0.0263         8       480    0.9895    0.9844    0.9946    0.8633   0.01331  0.002972         0
   102/299     6.11G    0.0191  0.007282         0   0.02638        10       480    0.9895    0.9844    0.9946    0.8631    0.0133  0.002968         0
   103/299     6.11G     0.019  0.007255         0   0.02625        14       480    0.9921    0.9817    0.9947    0.8646   0.01328  0.002963         0
   104/299     6.11G   0.01884  0.007211         0   0.02605        10       480     0.992    0.9818    0.9947    0.8655   0.01327  0.002958         0
   105/299     6.11G   0.01911  0.007306         0   0.02642         7       480    0.9947    0.9815    0.9947    0.8656   0.01325  0.002953         0
   106/299     6.11G   0.01899  0.007218         0   0.02621         8       480    0.9947    0.9817    0.9947    0.8656   0.01323  0.002948         0
   107/299     6.11G   0.01876   0.00714         0    0.0259        11       480    0.9947    0.9815    0.9947    0.8649   0.01321  0.002943         0
   108/299     6.11G    0.0189   0.00728         0   0.02618        15       480    0.9946    0.9792    0.9947    0.8671   0.01319  0.002937         0
   109/299     6.11G   0.01879  0.007198         0   0.02599        12       480    0.9921    0.9817    0.9947    0.8663   0.01317  0.002931         0
   110/299     6.11G   0.01876  0.007158         0   0.02592        12       480    0.9921    0.9817    0.9946     0.867   0.01315  0.002926         0
   111/299     6.11G    0.0188  0.007201         0     0.026        11       480    0.9947    0.9817    0.9946     0.867   0.01313   0.00292         0
   112/299     6.11G   0.01859  0.007142         0   0.02573         9       480    0.9947    0.9818    0.9947    0.8676   0.01311  0.002914         0
   113/299     6.11G   0.01866  0.007126         0   0.02579        10       480    0.9947    0.9818    0.9946    0.8684   0.01309   0.00291         0
   114/299     6.11G   0.01847  0.007062         0   0.02553        15       480    0.9947    0.9818    0.9946    0.8685   0.01306  0.002905         0
   115/299     6.11G   0.01858  0.007148         0   0.02573        11       480    0.9947    0.9818    0.9946    0.8688   0.01304    0.0029         0
   116/299     6.11G   0.01859  0.007132         0   0.02572        11       480    0.9947    0.9817    0.9946    0.8695   0.01302  0.002895         0
   117/299     6.11G   0.01836   0.00696         0   0.02532        12       480    0.9947    0.9817    0.9946    0.8702   0.01299  0.002889         0
   118/299     6.11G   0.01833   0.00701         0   0.02534        13       480    0.9947    0.9817    0.9946    0.8706   0.01297  0.002883         0
   119/299     6.11G   0.01815  0.006988         0   0.02513         9       480    0.9947    0.9818    0.9947    0.8715   0.01295  0.002878         0
   120/299     6.11G   0.01826   0.00701         0   0.02527         3       480    0.9947    0.9818    0.9947    0.8726   0.01292  0.002873         0
   121/299     6.11G   0.01832  0.007008         0   0.02533         9       480    0.9947    0.9818    0.9946    0.8729    0.0129  0.002868         0
   122/299     6.11G   0.01817  0.006919         0   0.02509         8       480    0.9947    0.9818    0.9947    0.8732   0.01288  0.002862         0
   123/299     6.11G   0.01821  0.007008         0   0.02522        15       480    0.9947    0.9818    0.9947    0.8739   0.01286  0.002857         0
   124/299     6.11G   0.01818  0.006976         0   0.02516         6       480    0.9947    0.9817    0.9946    0.8751   0.01283  0.002853         0
   125/299     6.11G   0.01803  0.006987         0   0.02501         7       480    0.9947    0.9818    0.9947    0.8754   0.01281  0.002849         0
   126/299     6.11G   0.01797  0.006909         0   0.02488        17       480    0.9947    0.9818    0.9947    0.8753   0.01279  0.002846         0
   127/299     6.11G   0.01794  0.006894         0   0.02483        14       480    0.9972    0.9818    0.9947    0.8763   0.01277  0.002841         0
